,genres,movie_title,imdb_score,movie_imdb_link
264,"
Drama, Romance            ",Portrait of a Lady on Fire,8.1,https://www.imdb.com/title/tt8613070
265,"
Horror, Thriller            ",Dawn of the Dead,7.8,https://www.imdb.com/title/tt0077402
266,"
Drama, Thriller            ",Room,8.1,https://www.imdb.com/title/tt3170832
267,"
Adventure, Comedy, Sci-Fi            ",Back to the Future Part II,7.8,https://www.imdb.com/title/tt0096874
268,"
Family, Fantasy, Musical            ",Willy Wonka & the Chocolate Factory,7.8,https://www.imdb.com/title/tt0067992
269,"
Animation, Action, Adventure            ",The Incredibles,8.0,https://www.imdb.com/title/tt0317705
270,"
Drama, Fantasy, Romance            ",The Curious Case of Benjamin Button,7.8,https://www.imdb.com/title/tt0421715
271,"
Animation, Adventure, Comedy            ",Zootopia,8.0,https://www.imdb.com/title/tt2948356
272,"
Action, Adventure, Sci-Fi            ",Star Wars: Episode VII - The Force Awakens,7.8,https://www.imdb.com/title/tt2488496
273,"
Action, Adventure, Fantasy            ",Star Wars: Episode V - The Empire Strikes Back,8.7,https://www.imdb.com/title/tt0080684
274,"
Drama, Sci-Fi, Thriller            ",The Butterfly Effect,7.6,https://www.imdb.com/title/tt0289879
275,"
Comedy, Drama            ",Lost in Translation,7.7,https://www.imdb.com/title/tt0335266
276,"
Biography, Drama, History            ",12 Years a Slave,8.1,https://www.imdb.com/title/tt2024544
277,"
Adventure, Comedy, Crime            ","O Brother, Where Art Thou?",7.7,https://www.imdb.com/title/tt0190590
278,"
Comedy, Crime            ",My Cousin Vinny,7.6,https://www.imdb.com/title/tt0104952
279,"
Comedy, Drama            ",Little Miss Sunshine,7.8,https://www.imdb.com/title/tt0449059
280,"
Comedy            ",Clerks,7.7,https://www.imdb.com/title/tt0109445
281,"
Biography, Drama, Romance            ",The Theory of Everything,7.7,https://www.imdb.com/title/tt2980516
282,"
Comedy, Drama            ",3 Idiots,8.4,https://www.imdb.com/title/tt1187043
283,"
Action, Adventure, Sci-Fi            ",Captain America: Civil War,7.8,https://www.imdb.com/title/tt3498820
284,"
Drama, Music            ",Sound of Metal,7.7,https://www.imdb.com/title/tt5363618
285,"
Action, Crime, Drama            ",Training Day,7.7,https://www.imdb.com/title/tt0139654
286,"
Comedy, Western            ",Blazing Saddles,7.7,https://www.imdb.com/title/tt0071230
287,"
Comedy            ",Office Space,7.7,https://www.imdb.com/title/tt0151804
288,"
Action, Crime, Thriller            ",I Saw the Devil,7.8,https://www.imdb.com/title/tt1588170
289,"
Crime, Drama            ",The Godfather Part III,7.6,https://www.imdb.com/title/tt0099674
