,movie_title,year,certificate,time_minute,genres,imdb_score,movie_imdb_link,metascore,vote
131,Harry Potter and the Prisoner of Azkaban,2004,PG,142,"
Adventure, Family, Fantasy            ",7.9,https://www.imdb.com/title/tt0304141,82,630713
132,Stardust,2007,PG-13,127,"
Adventure, Family, Fantasy            ",7.6,https://www.imdb.com/title/tt0486655,66,273184
133,Snatch,2000,R,102,"
Comedy, Crime            ",8.2,https://www.imdb.com/title/tt0208092,55,852905
134,Apocalypse Now,1979,R,147,"
Drama, Mystery, War            ",8.5,https://www.imdb.com/title/tt0078788,94,664785
135,Her,2013,R,126,"
Drama, Romance, Sci-Fi            ",8.0,https://www.imdb.com/title/tt1798709,91,610399
136,Braveheart,1995,R,178,"
Biography, Drama, History            ",8.4,https://www.imdb.com/title/tt0112573,68,1034051
137,Spirited Away,2001,PG,125,"
Animation, Adventure, Family            ",8.6,https://www.imdb.com/title/tt0245429,96,756948
138,Ford v Ferrari,2019,PG-13,152,"
Action, Biography, Drama            ",8.1,https://www.imdb.com/title/tt1950186,81,389271
139,Saving Private Ryan,1998,R,169,"
Drama, War            ",8.6,https://www.imdb.com/title/tt0120815,91,1381688
140,Aliens,1986,R,137,"
Action, Adventure, Sci-Fi            ",8.4,https://www.imdb.com/title/tt0090605,84,714967
141,Blade Runner,1982,R,117,"
Action, Drama, Sci-Fi            ",8.1,https://www.imdb.com/title/tt0083658,84,766266
142,The Breakfast Club,1985,R,97,"
Comedy, Drama            ",7.8,https://www.imdb.com/title/tt0088847,66,398108
143,Kingsman: The Secret Service,2014,R,129,"
Action, Adventure, Comedy            ",7.7,https://www.imdb.com/title/tt2802144,60,665609
144,The Lion King,1994,G,88,"
Animation, Adventure, Drama            ",8.5,https://www.imdb.com/title/tt0110357,88,1051256
145,The Hobbit: The Desolation of Smaug,2013,PG-13,161,"
Adventure, Fantasy            ",7.8,https://www.imdb.com/title/tt1170358,66,662385
146,Memento,2000,R,113,"
Mystery, Thriller            ",8.4,https://www.imdb.com/title/tt0209144,80,1231738
147,Drive,2011,R,100,"
Action, Drama            ",7.8,https://www.imdb.com/title/tt0780504,78,637097
148,Hacksaw Ridge,2016,R,139,"
Biography, Drama, History            ",8.1,https://www.imdb.com/title/tt2119532,71,521863
149,The Hangover,2009,R,100,"
Comedy            ",7.7,https://www.imdb.com/title/tt1119646,73,783241
150,Batman Begins,2005,PG-13,140,"
Action, Crime, Drama            ",8.2,https://www.imdb.com/title/tt0372784,70,1461739
151,The Hunt,2012,R,115,"
Drama            ",8.3,https://www.imdb.com/title/tt2106476,77,329013
152,Spider-Man: Into the Spider-Verse,2018,PG,117,"
Animation, Action, Adventure            ",8.4,https://www.imdb.com/title/tt4633694,87,521507
153,The Wizard of Oz,1939,PG,102,"
Adventure, Family, Fantasy            ",8.1,https://www.imdb.com/title/tt0032138,92,399141
154,Watchmen,2009,R,162,"
Action, Drama, Mystery            ",7.6,https://www.imdb.com/title/tt0409459,56,551552
155,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146,"
Adventure, Family, Fantasy            ",7.7,https://www.imdb.com/title/tt0926084,65,546081
156,Terminator 2: Judgment Day,1991,R,137,"
Action, Sci-Fi            ",8.6,https://www.imdb.com/title/tt0103064,75,1092691
157,Once Upon a Time in America,1984,R,229,"
Crime, Drama            ",8.3,https://www.imdb.com/title/tt0087843,75,351408
158,The Truman Show,1998,PG,103,"
Comedy, Drama            ",8.2,https://www.imdb.com/title/tt0120382,90,1071876
159,Dunkirk,2017,PG-13,106,"
Action, Drama, History            ",7.8,https://www.imdb.com/title/tt5013056,94,653642
160,Night of the Living Dead,1968,Not Rated,96,"
Horror, Thriller            ",7.8,https://www.imdb.com/title/tt0063350,89,129943
161,Green Book,2018,PG-13,130,"
Biography, Comedy, Drama            ",8.2,https://www.imdb.com/title/tt6966692,69,486518
162,V for Vendetta,2005,R,132,"
Action, Drama, Sci-Fi            ",8.2,https://www.imdb.com/title/tt0434409,62,1117798
163,Logan,2017,R,137,"
Action, Drama, Sci-Fi            ",8.1,https://www.imdb.com/title/tt3315342,77,758045
164,The Big Short,2015,R,130,"
Biography, Comedy, Drama            ",7.8,https://www.imdb.com/title/tt1596363,81,429831
165,The Fifth Element,1997,PG-13,126,"
Action, Adventure, Sci-Fi            ",7.6,https://www.imdb.com/title/tt0119116,52,473571
166,Sicario,2015,R,121,"
Action, Crime, Drama            ",7.6,https://www.imdb.com/title/tt3397884,82,428716
167,Boogie Nights,1997,R,155,"
Drama            ",7.9,https://www.imdb.com/title/tt0118749,85,266211
168,Misery,1990,R,107,"
Drama, Thriller            ",7.8,https://www.imdb.com/title/tt0100157,75,212531
169,Shaun of the Dead,2004,R,99,"
Comedy, Horror            ",7.9,https://www.imdb.com/title/tt0365748,76,558062
170,What We Do in the Shadows,2014,R,86,"
Comedy, Horror            ",7.6,https://www.imdb.com/title/tt3416742,76,184625
171,The Terminator,1984,R,107,"
Action, Sci-Fi            ",8.1,https://www.imdb.com/title/tt0088247,84,861467
172,Arrival,2016,PG-13,116,"
Drama, Mystery, Sci-Fi            ",7.9,https://www.imdb.com/title/tt2543164,81,690013
173,Man on Fire,2004,R,146,"
Action, Crime, Drama            ",7.7,https://www.imdb.com/title/tt0328107,47,363585
174,City of God,2002,R,130,"
Crime, Drama            ",8.6,https://www.imdb.com/title/tt0317248,79,753813
175,Ferris Bueller's Day Off,1986,PG-13,103,"
Comedy            ",7.8,https://www.imdb.com/title/tt0091042,61,358332
176,Kill Bill: Vol. 1,2003,R,111,"
Action, Crime, Drama            ",8.2,https://www.imdb.com/title/tt0266697,69,1109332
177,Star Trek,2009,PG-13,127,"
Action, Adventure, Sci-Fi            ",7.9,https://www.imdb.com/title/tt0796366,82,603701
178,Life Is Beautiful,1997,PG-13,116,"
Comedy, Drama, Romance            ",8.6,https://www.imdb.com/title/tt0118799,59,691306
179,Reservoir Dogs,1992,R,99,"
Crime, Thriller            ",8.3,https://www.imdb.com/title/tt0105236,79,1012370
180,Predator,1987,R,107,"
Action, Adventure, Horror            ",7.8,https://www.imdb.com/title/tt0093773,47,423146
181,American History X,1998,R,119,"
Crime, Drama            ",8.5,https://www.imdb.com/title/tt0120586,62,1117303
182,A Man Called Ove,2015,PG-13,116,"
Comedy, Drama, Romance            ",7.7,https://www.imdb.com/title/tt4080728,70,55916
183,Ratatouille,2007,G,111,"
Animation, Adventure, Comedy            ",8.1,https://www.imdb.com/title/tt0382932,96,731481
184,"The Good, the Bad and the Ugly",1966,R,178,"
Adventure, Western            ",8.8,https://www.imdb.com/title/tt0060196,90,757987
